Date,Value,,,,,
335,23.2084,26.26928,,,,
336,22.903,23.9861755,,,,
337,22.6104,22.1596947,,,,
338,22.1743,22.1596947,,,,
339,21.7703,22.73047,,,,
340,21.5946,22.3880043,,,,
341,21.4193,22.73047,,,,
342,21.0889,21.2464561,,,,
343,20.7739,20.90399,,,,
344,20.4737,20.90399,,,,
345,20.3623,20.90399,,,,
346,20.2705,19.6482849,,,,
347,20.0188,19.6482849,,,,
348,20.0235,19.4199753,,,,
349,19.9704,21.7350426,,,,
350,20.4042,20.821804,,,,
351,20.4228,20.5934944,,,,
352,21.1543,20.25103,,,,
353,21.1309,18.9953232,,,,
354,21.1068,18.9953232,,,,
355,20.9062,18.7670135,,,,
356,20.6976,18.7670135,,,,
357,20.4852,17.853775,,,,
358,20.4475,17.1688423,,,,
359,20.4105,16.2556038,,,,
360,20.5115,16.59807,,,,
361,20.3366,15.68483,,,,
362,20.2983,20.11405,,,,
363,20.0913,18.85835,,,,
364,20.1314,17.9451065,,,,
365,20.1112,17.9451065,,,,
366,20.082,17.3743324,,,,
367,20.0475,18.85835,,,,
368,20.1765,17.6026421,,,,
369,20.1645,17.3743324,,,,
370,20.1451,17.031868,,,,
371,20.2118,16.4610939,,,,
372,20.0097,16.4610939,,,,
373,20.0452,15.77616,,,,
374,20.0441,15.54785,,,,
375,19.8587,22.8629227,,,,
376,19.8342,21.72137,,,,
377,19.8071,20.8081322,,,,
378,19.8849,20.8081322,,,,
379,20.3924,20.00905,,,,
380,20.7799,19.20996,,,,
381,20.5859,19.20996,,,,
382,20.375,18.4108772,,,,
383,20.1619,18.4108772,,,,
384,20.1132,27.38348,,,,
385,20.0658,27.38348,,,,
386,20.0228,27.38348,,,,
387,19.8307,27.38348,,,,
388,19.6116,26.812706,,,,
389,19.6466,26.0136223,,,,
390,19.916,27.15517,,,,
391,19.8723,27.6117935,,,,
392,19.6765,27.954258,,,,
393,19.4833,28.4108772,,,,
394,19.2788,28.4108772,,,,
395,19.0657,29.20996,,,,
396,18.8531,30.00905,,,,
397,18.6646,30.5798225,,,,
398,18.4679,27.6117935,,,,
399,18.3418,20.3560867,,,,
400,18.223,22.9862251,,,,
401,18.0944,23.557003,,,,
402,17.9758,22.9862251,,,,
403,17.8318,22.41545,,,,
404,17.6868,21.6163673,,,,
