Date,obs,Year,,,,,,,
4/28/2000,52.7075958,,80.7075958,60.7075958,55.7075958,52.7075958,52.7075958,,
4/29/2000,61.61169,,89.61169,69.61169,64.61169,61.61169,61.61169,,
4/30/2000,55.33316,,83.33316,63.33316,58.33316,55.33316,55.33316,,
5/1/2000,51.56605,,79.56605,59.56605,54.56605,51.56605,51.56605,,
5/2/2000,59.5569,,87.5569,67.5569,62.5569,59.5569,59.5569,,
5/3/2000,58.75781,,86.75781,66.75781,61.75781,58.75781,58.75781,,
5/4/2000,53.39253,,81.39253,61.39253,56.39253,53.39253,53.39253,,
5/5/2000,53.39253,,81.39253,61.39253,56.39253,53.39253,53.39253,,
5/6/2000,51.9085159,,79.9085159,59.9085159,54.9085159,51.9085159,51.9085159,,
5/7/2000,65.94958,,93.94958,73.94958,68.94958,65.94958,65.94958,,
5/8/2000,52.7075958,,80.7075958,60.7075958,55.7075958,52.7075958,52.7075958,,
5/9/2000,51.56605,,79.56605,59.56605,54.56605,51.56605,51.56605,,
5/10/2000,56.13225,,84.13225,64.13225,59.13225,56.13225,56.13225,,
5/11/2000,54.53408,,82.53408,62.53408,57.53408,54.53408,54.53408,,
5/12/2000,71.88564,,99.88564,79.88564,74.88564,71.88564,71.88564,,
5/13/2000,84.785156,,112.785156,92.785156,87.785156,84.785156,84.785156,,
5/14/2000,86.155022,,114.155022,94.155022,89.155022,86.155022,86.155022,,
5/15/2000,91.86277,,119.86277,99.86277,94.86277,91.86277,91.86277,,
5/16/2000,80.333115,,108.333115,88.333115,83.333115,80.333115,80.333115,,
5/17/2000,78.8491,,106.8491,86.8491,81.8491,78.8491,78.8491,,
5/18/2000,121.543076,,149.543076,129.543076,124.543076,121.543076,121.543076,,
5/19/2000,147.798737,,175.798737,155.798737,150.798737,147.798737,147.798737,,
5/20/2000,166.063538,,194.063538,174.063538,169.063538,166.063538,166.063538,,
5/21/2000,168.346634,,196.346634,176.346634,171.346634,168.346634,168.346634,,
5/22/2000,167.205078,,195.205078,175.205078,170.205078,167.205078,167.205078,,
5/23/2000,177.479034,,205.479034,185.479034,180.479034,177.479034,177.479034,,
5/24/2000,223.141037,,251.141037,231.141037,226.141037,223.141037,223.141037,,
5/25/2000,233.415,,261.415,241.415,236.415,233.415,233.415,,
5/26/2000,188.2094,,216.2094,196.2094,191.2094,188.2094,188.2094,,
5/27/2000,234.236847,,262.236847,242.236847,237.236847,234.236847,234.236847,,
5/28/2000,204.876236,,232.876236,212.876236,207.876236,204.876236,204.876236,,
5/29/2000,164.921982,,192.921982,172.921982,167.921982,164.921982,164.921982,,
5/30/2000,161.49733,,189.49733,169.49733,164.49733,161.49733,161.49733,,
5/31/2000,144.374084,,172.374084,152.374084,147.374084,144.374084,144.374084,,
6/1/2000,148.940277,,176.940277,156.940277,151.940277,148.940277,148.940277,,
6/2/2000,153.506485,,181.506485,161.506485,156.506485,153.506485,153.506485,,
6/3/2000,155.789581,,183.789581,163.789581,158.789581,155.789581,155.789581,,
6/4/2000,148.940277,,176.940277,156.940277,151.940277,148.940277,148.940277,,
6/5/2000,211.72554,,239.72554,219.72554,214.72554,211.72554,211.72554,,
6/6/2000,252.296051,,280.296051,260.296051,255.296051,252.296051,252.296051,,
6/7/2000,287.635,,315.635,295.635,290.635,287.635,287.635,,
6/8/2000,252.356,,280.356,260.356,255.356,252.356,252.356,,
6/9/2000,257.365,,285.365,265.365,260.365,257.365,257.365,,
6/10/2000,263.026428,,291.026428,271.026428,266.026428,263.026428,263.026428,,
6/11/2000,242.478516,,270.478516,250.478516,245.478516,242.478516,242.478516,,
6/12/2000,214.6249,,242.6249,222.6249,217.6249,214.6249,214.6249,,
6/13/2000,167.82135,,195.82135,175.82135,170.82135,167.82135,167.82135,,
6/14/2000,166.6798,,194.6798,174.6798,169.6798,166.6798,166.6798,,
6/15/2000,163.255157,,191.255157,171.255157,166.255157,163.255157,163.255157,,
6/16/2000,152.9812,,180.9812,160.9812,155.9812,152.9812,152.9812,,
6/17/2000,208.917145,,236.917145,216.917145,211.917145,208.917145,208.917145,,
6/18/2000,278.323,,306.323,286.323,281.323,278.323,278.323,,
6/19/2000,300.24118,,328.24118,308.24118,303.24118,300.24118,300.24118,,
6/20/2000,285.401031,,313.401031,293.401031,288.401031,285.401031,285.401031,,
6/21/2000,313.254639,,341.254639,321.254639,316.254639,313.254639,313.254639,,
6/22/2000,437.659,,465.659,445.659,440.659,437.659,437.659,,
6/23/2000,412.1131,,440.1131,420.1131,415.1131,412.1131,412.1131,,
6/24/2000,412.526,,440.526,420.526,415.526,412.526,412.526,,
6/25/2000,420.103943,,448.103943,428.103943,423.103943,420.103943,420.103943,,
6/26/2000,294.533417,,322.533417,302.533417,297.533417,294.533417,294.533417,,
6/27/2000,238.597473,,266.597473,246.597473,241.597473,238.597473,238.597473,,
6/28/2000,253.437622,,281.437622,261.437622,256.437622,253.437622,253.437622,,
6/29/2000,303.8935,,431.8935,411.8935,406.8935,403.8935,303.8935,,
6/30/2000,348.186279,,376.186279,356.186279,351.186279,348.186279,348.186279,,
7/1/2000,275.127075,,303.127075,283.127075,278.127075,275.127075,275.127075,,
7/2/2000,302.158844,,330.158844,310.158844,305.158844,302.158844,302.158844,,
7/3/2000,299.556,,327.556,307.556,302.556,299.556,299.556,,
7/4/2000,286.770782,,364.770782,344.770782,339.770782,336.770782,336.770782,286.770782,
7/5/2000,270.789063,,348.789063,328.789063,323.789063,320.789063,320.789063,270.789063,
7/6/2000,290.195435,,368.195435,348.195435,343.195435,340.195435,340.195435,290.195435,
7/7/2000,295.903168,,373.903168,353.903168,348.903168,345.903168,345.903168,295.903168,
7/8/2000,357.5469,,435.5469,415.5469,410.5469,407.5469,407.5469,357.5469,
7/9/2000,292.478516,,370.478516,350.478516,345.478516,342.478516,342.478516,292.478516,
7/10/2000,322.158844,,400.158844,380.158844,375.158844,372.158844,372.158844,322.158844,
7/11/2000,288.825134,,366.825134,346.825134,341.825134,338.825134,338.825134,288.825134,
7/12/2000,323.7568,,401.7568,381.7568,376.7568,373.7568,373.7568,323.7568,
7/13/2000,298.186279,,376.186279,356.186279,351.186279,348.186279,348.186279,298.186279,
7/14/2000,339.365,,417.365,397.365,392.365,389.365,389.365,339.365,
7/15/2000,322.658,,400.658,380.658,375.658,372.658,372.658,322.658,
7/16/2000,350.7886,,428.7886,408.7886,403.7886,400.7886,400.7886,350.7886,
7/17/2000,351.6104,,429.6104,409.6104,404.6104,401.6104,401.6104,351.6104,
7/18/2000,360.240662,,478.240662,458.240662,453.240662,450.240662,450.240662,400.240662,360.240662
7/19/2000,363.2089,,481.2089,461.2089,456.2089,453.2089,453.2089,403.2089,363.2089
7/20/2000,479.647034,,597.647034,577.647034,572.647034,569.647034,569.647034,519.647034,479.647034
7/21/2000,375.7659,,493.7659,473.7659,468.7659,465.7659,465.7659,415.7659,375.7659
7/22/2000,429.4188,,547.4188,527.4188,522.4188,519.4188,519.4188,469.4188,429.4188
7/23/2000,298.140533,,416.140533,396.140533,391.140533,388.140533,388.140533,338.140533,298.140533
7/24/2000,326.67926,,444.67926,424.67926,419.67926,416.67926,416.67926,366.67926,326.67926
7/25/2000,428.733643,,546.733643,526.733643,521.733643,518.733643,518.733643,468.733643,428.733643
7/26/2000,419.601257,,537.601257,517.601257,512.601257,509.601257,509.601257,459.601257,419.601257
7/27/2000,436.724548,,554.724548,534.724548,529.724548,526.724548,526.724548,476.724548,436.724548
7/28/2000,402.7977,,520.7977,500.7977,495.7977,492.7977,492.7977,442.7977,402.7977
7/29/2000,394.4872,,512.4872,492.4872,487.4872,484.4872,484.4872,434.4872,394.4872
7/30/2000,433.299866,,551.299866,531.299866,526.299866,523.299866,523.299866,473.299866,433.299866
7/31/2000,416.865,,534.865,514.865,509.865,506.865,506.865,456.865,416.865
8/1/2000,392.536,,510.536,490.536,485.536,482.536,482.536,432.536,392.536
8/2/2000,427.3659,,545.3659,525.3659,520.3659,517.3659,517.3659,467.3659,427.3659
8/3/2000,416.176636,,534.176636,514.176636,509.176636,506.176636,506.176636,456.176636,416.176636
8/4/2000,425.994141,,543.994141,523.994141,518.994141,515.994141,515.994141,465.994141,425.994141
8/5/2000,379.1906,,497.1906,477.1906,472.1906,469.1906,469.1906,419.1906,379.1906
8/6/2000,334.670166,,452.670166,432.670166,427.670166,424.670166,424.670166,374.670166,334.670166
8/7/2000,290.1497,,408.1497,388.1497,383.1497,380.1497,380.1497,330.1497,290.1497
8/8/2000,356.3596,,474.3596,454.3596,449.3596,446.3596,446.3596,396.3596,356.3596
8/9/2000,359.784241,,477.784241,457.784241,452.784241,449.784241,449.784241,399.784241,359.784241
8/10/2000,316.176636,,434.176636,414.176636,409.176636,406.176636,406.176636,356.176636,316.176636
8/11/2000,380.7886,,498.7886,478.7886,473.7886,470.7886,470.7886,420.7886,380.7886
8/12/2000,404.2132,,522.2132,502.2132,497.2132,494.2132,494.2132,444.2132,404.2132
8/13/2000,352.2498,,470.2498,450.2498,445.2498,442.2498,442.2498,392.2498,352.2498
8/14/2000,412.751953,,530.751953,510.751953,505.751953,502.751953,502.751953,452.751953,412.751953
8/15/2000,418.4597,,536.4597,516.4597,511.4597,508.4597,508.4597,458.4597,418.4597
8/16/2000,354.9893,,472.9893,452.9893,447.9893,444.9893,444.9893,394.9893,354.9893
8/17/2000,416.176636,,534.176636,514.176636,509.176636,506.176636,506.176636,456.176636,416.176636
8/18/2000,418.0033,,536.0033,516.0033,511.0033,508.0033,508.0033,458.0033,418.0033
8/19/2000,424.1675,,542.1675,522.1675,517.1675,514.1675,514.1675,464.1675,424.1675
8/20/2000,392.8892,,510.8892,490.8892,485.8892,482.8892,482.8892,432.8892,392.8892
8/21/2000,391.7476,,509.7476,489.7476,484.7476,481.7476,481.7476,431.7476,391.7476
8/22/2000,369.829468,,487.829468,467.829468,462.829468,459.829468,459.829468,409.829468,369.829468
8/23/2000,368.2315,,486.2315,466.2315,461.2315,458.2315,458.2315,408.2315,368.2315
8/24/2000,365.492,,483.492,463.492,458.492,455.492,455.492,405.492,365.492
8/25/2000,340.377869,,458.377869,438.377869,433.377869,430.377869,430.377869,380.377869,340.377869
8/26/2000,299.282074,,417.282074,397.282074,392.282074,389.282074,389.282074,339.282074,299.282074
8/27/2000,348.3687,,466.3687,446.3687,441.3687,438.3687,438.3687,388.3687,348.3687
8/28/2000,327.1357,,445.1357,425.1357,420.1357,417.1357,417.1357,367.1357,327.1357
8/29/2000,359.0991,,477.0991,457.0991,452.0991,449.0991,449.0991,399.0991,359.0991
8/30/2000,297.689,,415.689,395.689,390.689,387.689,387.689,337.689,297.689
8/31/2000,437.409668,,555.409668,535.409668,530.409668,527.409668,527.409668,477.409668,437.409668
9/1/2000,391.0625,,509.0625,489.0625,484.0625,481.0625,481.0625,431.0625,391.0625
9/2/2000,354.9893,,472.9893,452.9893,447.9893,444.9893,444.9893,394.9893,354.9893
9/3/2000,360.240662,,478.240662,458.240662,453.240662,450.240662,450.240662,400.240662,360.240662
9/4/2000,362.523743,,480.523743,460.523743,455.523743,452.523743,452.523743,402.523743,362.523743
9/5/2000,344.259,,462.259,442.259,437.259,434.259,434.259,384.259,344.259
9/6/2000,320.7428,,438.7428,418.7428,413.7428,410.7428,410.7428,360.7428,320.7428
9/7/2000,357.2724,,475.2724,455.2724,450.2724,447.2724,447.2724,397.2724,357.2724
9/8/2000,354.9893,,472.9893,452.9893,447.9893,444.9893,444.9893,394.9893,354.9893
9/9/2000,373.9393,,491.9393,471.9393,466.9393,463.9393,463.9393,413.9393,373.9393
9/10/2000,320.2864,,438.2864,418.2864,413.2864,410.2864,410.2864,360.2864,320.2864
9/11/2000,366.633545,,484.633545,464.633545,459.633545,456.633545,456.633545,406.633545,366.633545
9/12/2000,343.8483,,421.8483,401.8483,396.8483,393.8483,393.8483,343.8483,
9/13/2000,325.5835,,403.5835,383.5835,378.5835,375.5835,375.5835,325.5835,
9/14/2000,325.5835,,403.5835,383.5835,378.5835,375.5835,375.5835,325.5835,
9/15/2000,310.743317,,388.743317,368.743317,363.743317,360.743317,360.743317,310.743317,
9/16/2000,290.195435,,368.195435,348.195435,343.195435,340.195435,340.195435,290.195435,
9/17/2000,268.460236,,346.460236,326.460236,321.460236,318.460236,318.460236,268.460236,
9/18/2000,282.204559,,360.204559,340.204559,335.204559,332.204559,332.204559,282.204559,
9/19/2000,251.382721,,329.382721,309.382721,304.382721,301.382721,301.382721,251.382721,
9/20/2000,309.373047,,387.373047,367.373047,362.373047,359.373047,359.373047,309.373047,
9/21/2000,334.715881,,412.715881,392.715881,387.715881,384.715881,384.715881,334.715881,
9/22/2000,263.939758,,341.939758,321.939758,316.939758,313.939758,313.939758,263.939758,
9/23/2000,299.32782,,377.32782,357.32782,352.32782,349.32782,349.32782,299.32782,
